date,Discharge(cumecs)
1/3/2005 0:00,1.882
1/4/2005 0:00,1.389
1/5/2005 0:00,0.766
1/6/2005 0:00,13.506
1/7/2005 0:00,8.076
1/8/2005 0:00,8.076
1/9/2005 0:00,14.654
1/10/2005 0:00,6.409
1/11/2005 0:00,1.819
1/12/2005 0:00,1.639
1/1/2006 0:00,3.86
1/2/2006 0:00,2.421
1/3/2006 0:00,4.388
1/4/2006 0:00,1.947
1/5/2006 0:00,2.447
1/6/2006 0:00,8.955
1/7/2006 0:00,6.107
1/8/2006 0:00,17.79
1/9/2006 0:00,9.294
1/10/2006 0:00,3.614
1/11/2006 0:00,1.628
1/12/2006 0:00,1.427
1/1/2007 0:00,2.059
1/2/2007 0:00,2.828
1/3/2007 0:00,2.37
1/4/2007 0:00,1.075
1/5/2007 0:00,7.593
1/6/2007 0:00,3.86
1/7/2007 0:00,12.3
1/8/2007 0:00,26.342
1/9/2007 0:00,25.857
1/10/2007 0:00,4.671
1/11/2007 0:00,1.947
1/12/2007 0:00,1.72
1/1/2008 0:00,2.271
1/2/2008 0:00,4.427
1/3/2008 0:00,3.788
1/4/2008 0:00,1.947
1/5/2008 0:00,0.742
1/6/2008 0:00,6.37
1/7/2008 0:00,6.525
1/8/2008 0:00,58.748
1/9/2008 0:00,107.351
1/10/2008 0:00,54.806
1/11/2008 0:00,3.546
1/12/2008 0:00,5.053
1/1/2009 0:00,3.648
1/2/2009 0:00,3.251
1/3/2009 0:00,3.188
1/4/2009 0:00,2.151
1/5/2009 0:00,1.389
1/6/2009 0:00,27.411
1/7/2009 0:00,15.452
1/8/2009 0:00,14.459
1/9/2009 0:00,8.031
1/10/2009 0:00,9.541
1/11/2009 0:00,3.753
1/12/2009 0:00,4.548
1/1/2010 0:00,3.896
1/2/2010 0:00,4.043
1/3/2010 0:00,3.711
1/4/2010 0:00,2.081
1/5/2010 0:00,1.269
1/6/2010 0:00,7.379
1/7/2010 0:00,13.413
1/8/2010 0:00,6.107
1/9/2010 0:00,9.343
1/10/2010 0:00,3.784
1/11/2010 0:00,3.005
1/12/2010 0:00,4.588
1/1/2011 0:00,4.772
